Customer ID,Transaction Date,Transaction Amount,Category,Region
CUST029,01/03/2022,380.79,Clothing,East
CUST007,01/06/2022,951.21,Books,South
CUST071,01/06/2022,734.67,Health,North
CUST063,01/12/2022,602.67,Home,West
CUST058,1/13/2022,164.46,Health,East
CUST036,1/20/2022,164.43,Home,North
CUST027,1/21/2022,67.5,Home,East
CUST140,1/26/2022,867.51,Electronics,East
CUST023,1/26/2022,605.1,Books,South
CUST109,1/29/2022,710.99,Home,South
CUST009,1/29/2022,30.38,Electronics,East
CUST008,02/01/2022,970.21,Health,West
CUST024,02/05/2022,834.12,Electronics,South
CUST056,02/09/2022,220.22,Health,South
CUST060,02/10/2022,190.01,Books,South
CUST130,02/11/2022,191.57,Home,South
CUST007,02/12/2022,311.2,Clothing,North
CUST144,2/22/2022,529.51,Health,East
CUST051,2/22/2022,437.63,Home,North
CUST140,2/25/2022,298.32,Clothing,North
CUST108,2/25/2022,615.73,Clothing,East
CUST057,2/28/2022,148.1,Health,South
CUST115,03/01/2022,299.22,Home,West
CUST072,03/01/2022,372.7,Clothing,South
CUST002,03/01/2022,461.51,Electronics,South
CUST041,03/05/2022,787.32,Electronics,South
CUST109,03/08/2022,207.68,Home,South
CUST088,3/15/2022,519.09,Books,West
CUST072,3/17/2022,596.49,Electronics,North
CUST040,3/17/2022,55.99,Health,West
CUST056,3/23/2022,611.47,Home,East
CUST087,3/24/2022,178.82,Clothing,South
CUST027,3/24/2022,74.4,Electronics,West
CUST024,3/26/2022,949.4,Home,East
CUST098,3/31/2022,965.98,Home,West
CUST025,04/04/2022,810.31,Books,South
CUST092,04/05/2022,311.57,Clothing,South
CUST089,4/13/2022,106.7,Clothing,East
CUST068,4/13/2022,687.39,Clothing,West
CUST012,4/16/2022,445.75,Health,South
CUST118,4/16/2022,130.82,Home,East
CUST138,4/17/2022,500.23,Health,West
CUST032,4/20/2022,44.04,Health,West
CUST097,4/22/2022,910.23,Home,East
CUST021,4/22/2022,266.19,Clothing,West
CUST142,4/25/2022,665.9,Home,West
CUST076,05/03/2022,318.59,Books,South
CUST093,05/04/2022,524.87,Home,South
CUST148,05/08/2022,551.24,Home,South
CUST050,05/12/2022,193.01,Electronics,East
CUST018,5/14/2022,969.89,Books,North
